cid;id_instalacion;fecha_cierre;fecha_apertura;rut_jefe_cierre
1;0;23-09-2010 20:03;05-10-2010 21:19;75295314-7
2;0;19-11-2013 16:55;23-11-2013 5:19;12842111-4
3;0;09-04-2020 12:02;15-04-2020 0:37;75295314-7
4;0;10-11-2011 12:49;15-11-2011 12:57;12842111-4
5;0;16-09-2018 10:03;22-09-2018 14:12;12842111-4
6;0;12-02-2013 3:19;20-02-2013 7:35;75295314-7
7;0;27-12-2011 0:26;09-01-2012 16:57;47981838-k
8;1;16-10-2013 4:47;19-10-2013 18:04;73842540-5
9;1;22-11-2013 19:16;26-11-2013 19:34;23407008-8
10;1;04-04-2020 9:03;18-04-2020 13:28;98683815-5
11;1;22-03-2017 3:24;05-04-2017 12:18;41704207-5
12;1;24-02-2010 2:12;01-03-2010 2:49;39038168-9
13;2;26-07-2011 6:38;30-07-2011 20:12;93840785-1
14;3;11-11-2013 11:55;21-11-2013 15:14;27626683-7
15;3;28-05-2010 18:20;05-06-2010 7:29;33078552-7
16;3;26-11-2013 2:03;09-12-2013 9:25;27626683-7
17;3;04-12-2015 16:58;13-12-2015 0:47;16264932-9
18;4;17-11-2012 8:57;27-11-2012 14:39;79861684-6
19;4;16-12-2012 10:47;21-12-2012 20:00;79861684-6
20;5;05-04-2016 8:51;13-04-2016 21:00;88094734-6
21;5;30-06-2015 20:00;08-07-2015 4:13;74580276-1
22;5;01-09-2020 0:24;09-09-2020 14:26;53609901-8
23;6;03-03-2012 13:11;14-03-2012 13:44;45453849-8
24;6;09-06-2010 6:00;15-06-2010 7:18;95541819-0
25;7;03-11-2014 4:31;10-11-2014 16:20;87282538-k
26;7;26-09-2018 3:40;05-10-2018 20:08;83538271-0
27;8;17-02-2010 15:41;01-03-2010 3:22;35480818-8
28;8;05-12-2010 13:56;14-12-2010 2:00;87631642-0
29;8;25-08-2017 3:16;28-08-2017 3:29;35480818-8
30;8;09-07-2018 5:12;22-07-2018 18:38;38629675-8
31;8;02-09-2016 6:25;11-09-2016 15:45;34352032-8
