id_instalacion;rut_jefe;puid;tipo_instalacion;capacidad_instalacion
0;35115737-2;1;muelle;3
1;92060023-9;2;muelle;1
2;89265324-0;3;muelle;3
3;27626683-7;4;muelle;2
4;20789297-1;5;astillero;1
5;19410523-1;6;muelle;1
6;53281073-6;7;astillero;2
7;59749734-2;7;astillero;2
8;38629675-8;8;astillero;1
9;64367868-3;9;astillero;1
10;11118739-8;10;astillero;1
11;70366259-5;11;muelle;2
12;82254885-7;12;muelle;1
13;10339840-1;8;astillero;2
14;45624249-9;13;muelle;2
15;31359212-k;14;astillero;1
16;87624695-3;8;muelle;2
17;73454838-3;15;muelle;1
18;12920124-k;16;astillero;1
19;50942616-3;10;muelle;2
20;96828461-4;17;muelle;2
21;35340502-0;18;muelle;3
22;83330704-5;19;muelle;2
23;38578737-5;20;muelle;3
24;59129614-0;21;muelle;3
25;50814284-6;2;astillero;1
26;15333675-k;18;muelle;3
27;84327091-3;20;muelle;3
28;94362008-3;4;muelle;1
29;54122700-8;12;astillero;3
30;45856781-6;16;astillero;2
31;90471139-k;4;astillero;3
32;25450277-4;19;astillero;2
33;88408240-4;22;astillero;3
34;14200344-9;23;astillero;1
35;41775238-2;2;astillero;3
36;58963604-k;24;astillero;1
37;25696685-9;25;muelle;3
38;37797879-k;16;astillero;2
39;43329730-k;12;muelle;1
40;23494123-2;5;muelle;3
41;23686910-5;2;astillero;2
42;21016824-9;10;muelle;3
43;99302343-4;26;astillero;2
44;18984900-1;12;astillero;1
45;52698782-9;14;astillero;3
46;77191435-7;27;muelle;2
47;90730270-9;4;astillero;3
48;37285914-8;8;astillero;1
49;14408869-7;11;astillero;2
50;46531952-6;11;astillero;2
51;44626695-0;21;astillero;2
52;61993529-2;4;muelle;1
53;91258242-6;2;astillero;2
54;79348268-k;22;muelle;2
55;31194216-6;20;muelle;3
56;63968995-6;7;astillero;2
57;76762441-7;26;astillero;3
58;67314332-6;1;astillero;3
59;75910499-4;21;muelle;3
60;54121962-5;4;astillero;3
61;42714709-6;2;muelle;2
62;36600416-5;12;muelle;1
63;26249833-6;11;astillero;3
64;48007583-8;6;muelle;1
65;14585428-8;6;muelle;1
66;34975310-3;1;astillero;3
67;58038177-4;28;astillero;3
68;48592540-6;29;muelle;3
69;16943787-4;5;astillero;2
70;12969098-4;26;astillero;2
71;23711490-6;5;muelle;1
72;72018152-5;14;astillero;3
73;88667817-7;14;muelle;1
74;47121914-2;20;astillero;1
75;34823992-9;4;astillero;1
76;10537138-1;13;astillero;3
77;79974368-k;30;muelle;3
78;45026733-3;12;muelle;1
79;92244003-4;2;astillero;2
80;50319391-4;8;muelle;1
81;69767927-8;31;muelle;3
82;98357275-8;6;astillero;1
83;41966463-4;6;astillero;1
84;35155157-7;19;muelle;2
85;65485230-8;32;muelle;2
86;95423202-6;3;muelle;3
87;80640357-1;29;astillero;1
88;54480341-7;31;astillero;3
89;56744324-8;30;muelle;1
90;32153494-5;1;muelle;3
91;13863556-2;18;astillero;2
92;49552236-9;10;muelle;3
93;44372095-2;22;astillero;2
94;60727093-7;33;astillero;2
95;33461512-k;34;muelle;3
96;81203114-7;14;muelle;3
97;60926655-4;7;muelle;1
98;99837067-1;35;muelle;3
99;92390198-1;15;astillero;3
100;34996262-4;27;astillero;2
101;35414863-3;18;astillero;1
102;88107942-9;23;muelle;1
103;73026642-1;4;muelle;3
104;22150901-3;26;astillero;3
105;67753422-2;12;astillero;2
106;98661210-6;36;muelle;2
107;12957899-8;32;muelle;3
108;25919808-9;23;astillero;1
109;12205074-2;18;astillero;2
110;29637564-0;7;astillero;1
111;41325900-2;37;astillero;1
112;38100857-6;23;astillero;2
113;46805723-9;26;astillero;2
114;82533150-6;7;muelle;1
115;89477804-0;32;muelle;1
116;95199785-4;38;astillero;3
117;89751595-4;26;astillero;2
118;54546935-9;28;muelle;2
119;59105378-7;10;muelle;1
120;66976509-6;14;muelle;1
121;70368495-5;23;muelle;2
122;18902520-3;32;astillero;3
123;97632307-6;4;muelle;2
124;80228379-2;15;muelle;3
125;87371798-k;29;muelle;1
126;41659296-9;39;astillero;2
127;15955355-8;17;muelle;1
128;53383454-k;24;astillero;3
129;40161573-3;29;muelle;1
130;26135720-8;23;muelle;3
131;30991735-9;12;astillero;1
132;54363208-2;17;muelle;2
133;48996426-0;6;astillero;3
134;49628420-8;20;astillero;3
135;48269008-4;36;astillero;1
136;91957637-5;20;astillero;1
137;37780063-k;3;astillero;2
138;44604413-3;7;muelle;2
139;40597717-6;20;astillero;1
140;88732812-9;2;astillero;1
141;58648727-2;4;muelle;2
142;12177977-3;1;muelle;2
143;37630974-6;22;astillero;3
144;52189199-8;39;muelle;1
145;40644356-6;40;muelle;2
146;75020925-4;14;astillero;2
147;37376941-k;37;muelle;2
148;97163657-2;36;muelle;3
149;29004298-4;9;muelle;1
150;53087333-1;17;muelle;2
151;76362168-5;22;muelle;2
152;69691126-6;40;muelle;2
153;23047484-2;28;muelle;1
154;49641463-2;41;muelle;1
155;64501886-9;21;muelle;3
156;42494071-2;42;muelle;2
157;78301240-5;11;astillero;2
158;96213582-k;1;astillero;1
159;17341224-k;17;astillero;3
160;96735305-1;21;muelle;1
161;83029887-8;35;muelle;3
162;70551235-3;2;muelle;2
163;71389826-0;3;muelle;3
164;75397524-1;4;astillero;2
165;67902197-4;8;muelle;1
166;84593882-2;12;astillero;2
167;81881771-1;28;astillero;1
168;57181678-4;5;astillero;2
169;14495790-3;40;astillero;2
170;58378678-3;26;muelle;1
171;94559048-3;17;muelle;3
172;28673876-1;33;muelle;3
173;69822376-6;22;muelle;2
174;11904025-6;17;astillero;3
175;24927693-6;18;muelle;1
176;77484278-0;19;astillero;3
177;44973013-5;18;muelle;1
178;24655915-5;29;muelle;2
179;15795964-6;7;astillero;3
180;92946711-6;16;astillero;3
181;11123767-0;3;astillero;3
182;58812264-6;9;astillero;3
183;26849996-2;31;astillero;1
184;52158784-9;12;astillero;1
185;79725852-0;12;muelle;2
186;35806868-5;21;muelle;3
187;70433997-6;11;astillero;1
188;60747994-1;33;muelle;1
189;32086803-3;33;astillero;3
190;95711978-6;28;muelle;3
191;32359787-1;17;astillero;2
192;50728559-7;20;muelle;1
193;93591226-1;43;muelle;1
194;54593722-0;10;muelle;1
195;17611254-9;39;astillero;3
196;93176945-6;42;muelle;1
197;13947632-8;5;astillero;1
198;71316667-7;9;muelle;1
199;90494178-6;19;muelle;1
200;78413522-5;41;muelle;1
201;52258791-5;27;astillero;1
202;91346186-k;10;astillero;2
203;75129314-3;21;astillero;1
204;10927357-0;23;muelle;1
205;42868972-0;4;muelle;2
206;45273848-1;2;muelle;2
207;34039148-9;33;muelle;1
208;68147125-1;37;muelle;2
209;80558312-6;11;astillero;1
210;22249624-1;6;muelle;3
211;52792841-9;13;muelle;1
212;56405384-8;20;muelle;2
213;13370165-6;9;astillero;1
214;66714421-3;14;astillero;3
215;60456055-1;17;muelle;2
